,Title,Zone,Price,Size (m²),Description,URL
0,"
                        Apartamento T3, Avenidas Novas (Nossa Senhora de Fátima), Avenidas Novas, Lisboa
                    ","                    Avenidas Novas (Nossa Senhora de Fátima), Avenidas Novas, Lisboa                ",650000.0,120,"               Apartamento T3 a 50 metros da Fundação Calouste Gulbenkian, com 134,00 m2 de área total e 125,00 m2 de área útil.  Primeiro andar, em edifício com um andar por piso. Nesta remodelação de alto padrão, foram  mantidos  os (...)
          ","https://casa.sapo.pt/comprar-apartamento-t3-lisboa-avenidas-novas-(nossa-senhora-de-fatima)-tem-varandas,ar-condicionado,cozinha-equipada,estacionamento-75fbba82-88f5-4ec9-8322-2469f51f0765.html?fpn=0"
1,"
                        Apartamento T2, Arroios (São Jorge de Arroios), Arroios, Lisboa
                    ","                    Arroios (São Jorge de Arroios), Arroios, Lisboa                ",330000.0,62,"               Apartamento T2 com muita luz natural, localização muito central a curta distância pedonal da Alameda Afonso Henriques, bem servida pela rede de transportes públicos (metropolitano - Alameda) e autocarros, zona de comercio (...)
          ","https://casa.sapo.pt/comprar-apartamento-t2-lisboa-arroios-(sao-jorge-de-arroios)-tem-varandas,hospital,terraco,transportes-publicos,marquise,varanda,escola-327ecad1-d908-421c-aa4c-4d4f28442ef9.html?fpn=0"
2,"
                        Apartamento T2, Loures
                    ",                    Loures                ,255000.0,122,"               T2 com varanda e Box
          ",https://casa.sapo.pt/comprar-apartamento-t2-loures-tem-varanda-18e7c05d-8885-11e9-889a-060000000054.html?fpn=0
3,"

","                    Príncipe Real (Mercês), Misericórdia, Lisboa                ",548000.0,57,"               O edifício Príncipe Real Residence é um projeto constituído por 22 apartamentos com tipologias entre T0s a T2s, áreas compreendidas entre os 40 m2 e os 165 m2. Todos os apartamentos têm ar condicionado, janelas de vidro (...)
          ","https://casa.sapo.pt/comprar-apartamento-t1-lisboa-misericordia-principe-real-(merces)-perto-transportes-publicos,centro-da-cidade-tem-ar-condicionado-a58762dd-8883-11e9-bb19-060000000053.html?fpn=0"
4,"

","                    Príncipe Real (Mercês), Misericórdia, Lisboa                ",668000.0,59,"               O edifício Príncipe Real Residence é um projeto constituído por 22 apartamentos com tipologias entre T0s a T2s, áreas compreendidas entre os 40 m2 e os 165 m2. Todos os apartamentos têm ar condicionado, janelas de vidro (...)
          ","https://casa.sapo.pt/comprar-apartamento-t1-lisboa-misericordia-principe-real-(merces)-perto-transportes-publicos,centro-da-cidade-tem-ar-condicionado-313fdc4c-8883-11e9-bb19-060000000053.html?fpn=0"
5,"
                        Apartamento T2, Torres da Bela Vista (Santo António de Cavaleiros), Santo António dos Cavaleiros e Frielas, Loures
                    ","                    Torres da Bela Vista (Santo António de Cavaleiros), Santo António dos Cavaleiros e Frielas, Loures                ",105000.0,70,"               T2 situado em Santo António dos Cavaleiros nas Torres da Bela Vista, junto ao Hospital de Loures e dos acessos, IC17 CRIL, A8, A9 CREL Composto por 2 quartos, sala, cozinha, vista desafogada, e com arrecadação Venha visitar (...)
          ","https://casa.sapo.pt/comprar-apartamento-t2-loures-santo-antonio-dos-cavaleiros-e-frielas-torres-da-bela-vista-(santo-antonio-de-cavaleiros)-tem-arrecadacao,hospital-1069616b-8883-11e9-93ea-060000000051.html?fpn=0"
6,"
                        Apartamento T3, Agualva e Mira-Sintra, Sintra
                    ","                    Agualva e Mira-Sintra, Sintra                ",105000.0,105,"               IMOVEL DE BANCO
          ","https://casa.sapo.pt/comprar-apartamento-t3-agualva-e-mira-sintra-perto-policia,transportes-publicos,escola,centro-da-cidade-d2c29138-8882-11e9-ad2e-060000000056.html?fpn=0"
7,"

","                    Príncipe Real (Mercês), Misericórdia, Lisboa                ",698000.0,63,"               O edifício Príncipe Real Residence é um projeto constituído por 22 apartamentos com tipologias entre T0s a T2s, áreas compreendidas entre os 40 m2 e os 165 m2. Todos os apartamentos têm ar condicionado, janelas de vidro (...)
          ","https://casa.sapo.pt/comprar-apartamento-t1-lisboa-misericordia-principe-real-(merces)-perto-transportes-publicos,centro-da-cidade-tem-ar-condicionado-216d8717-8882-11e9-bb19-060000000053.html?fpn=0"
8,"

","                    Príncipe Real (Mercês), Misericórdia, Lisboa                ",1078000.0,87,"               O edifício Príncipe Real Residence é um projeto constituído por 22 apartamentos com tipologias entre T0s a T2s, áreas compreendidas entre os 40 m2 e os 165 m2. Todos os apartamentos têm ar condicionado, janelas de vidro (...)
          ","https://casa.sapo.pt/comprar-apartamento-t2-lisboa-misericordia-principe-real-(merces)-perto-transportes-publicos,centro-da-cidade-tem-ar-condicionado-c24d848f-8881-11e9-bb19-060000000053.html?fpn=0"
9,"
                        Apartamento, Loures
                    ",                    Loures                ,255000.0,122,"               Móveis de cozinha em branco lacados com iluminação em LED , modelo SEUL Pavimento em réguas laminadas Móvel supenso em madeira zebrano e espelho com luz Led Banheira com resguardo em vidro, marca:NEXO Paineis solares, (...)
          ","https://casa.sapo.pt/comprar-apartamento-loures-tem-seguranca,aspiracao-central,varanda-99f29bc7-8881-11e9-889a-060000000054.html?fpn=0"
